phase title,phase see,pattern title,pattern see,rule title,rule context,generate context test,let name,let value,assert test,assert description,assert severity,notes
Facility Description,ASHRAE 211 6.1.1,Misc Building Info,ASHRAE 211 6.1.1.1 and 6.1.1.2,Basic Building Info,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Contacts/auc:Contact,TRUE,,,auc:Address/auc:State,,,
,,,,,,,,,auc:Address_PostalCode,,,
,,,,,,,,,auc:ContactCompany,,,
,,,,,,,,,auc:ContactEmailAddresses/auc:ContactEmailAddress/auc:EmailAddress,,,
,,,,,,,,,auc:ContactName,,,
,,,,,,,,,auc:ContactTelephoneNumbers/auc:ContactTelephoneNumber/auc:TelephoneNumber,,,
phase title2,phase see2,pattern title2,pattern see2,rule title2,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Reports/auc:Report/auc:Scenarios/auc:Scenario,TRUE,,,auc:ResourceUses/auc:ResourceUse/auc:EnergyResource,,WARNING,
,,,,,,,,,auc:ScenarioType/auc:Benchmark/auc:BenchmarkYear,,WARNING,
,,,,,,,,,auc:ScenarioType/auc:CalculationMethod/auc:Modeled/auc:SoftwareProgramUsed,,WARNING,
,,,,,,,,,auc:ScenarioType/auc:CurrentBuilding/auc:ENERGYSTARScore,,WARNING,
,,,,,,,,,auc:TimeSeriesData/auc:TimeSeries/auc:IntervalFrequency/auc:CoolingDegreeDays,,,
,,,,,,,,,auc:TimeSeriesData/auc:TimeSeries/auc:IntervalFrequency/auc:HeatingDegreeDays,,,
phase title3,phase see3,pattern title3,pattern see3,rule title3,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:ASHRAE,TRUE,,,auc:ClimateZone,,,
phase title4,phase see4,pattern title4,pattern see4,rule title4,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Address,TRUE,,,auc:City,,,
,,,,,,,,,auc:PostalCode,,,
,,,,,,,,,auc:State,,,
phase title5,phase see5,pattern title5,pattern see5,rule title5,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building,TRUE,,,auc:ConditionedFloorsAboveGrade,,WARNING,
,,,,,,,,,auc:ConditionedFloorsBelowGrade,,WARNING,
phase title6,phase see6,pattern title6,pattern see6,rule title6,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:FloorAreas/auc:FloorArea,TRUE,,,auc:FloorAreaType,,,
,,,,,,,,,auc:FloorAreaType,,WARNING,
,,,,,,,,,auc:FloorAreaType,,WARNING,
,,,,,,,,,auc:FloorAreaType,,WARNING,
,,,,,,,,,auc:FloorAreaType,,WARNING,
,,,,,,,,,auc:FloorAreaType,,WARNING,
,,,,,,,,,auc:FloorAreaType,,WARNING,
phase title7,phase see7,pattern title7,pattern see7,rule title7,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building,TRUE,,,auc:HistoricalLandmark,,WARNING,
phase title8,phase see8,pattern title8,pattern see8,rule title8,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings,TRUE,,,auc:Building/auc:PremisesName,,,
,,,,,,,,,auc:Building/auc:PremisesNotes,,,
phase title9,phase see9,pattern title9,pattern see9,rule title9,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section,TRUE,,,auc:OccupancyClassification,,,
phase title10,phase see10,pattern title10,pattern see10,rule title10,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings/auc:Building/auc:Sections/auc:Section/auc:TypicalOccupantUsages/auc:TypicalOccupantUsage,TRUE,,,auc:TypicalOccupantUsageUnits,,,
,,,,,,,,,auc:TypicalOccupantUsageValue,,,
phase title11,phase see11,pattern title11,pattern see11,rule title11,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site/auc:Buildings,TRUE,,,auc:Building/auc:YearOfConstruction,,WARNING,
phase title12,phase see12,pattern title12,pattern see12,rule title12,/auc:BuildingSync/auc:Facilities/auc:Facility/auc:Sites/auc:Site,TRUE,,,auc:WeatherStationName,,WARNING,
